,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mean_d[0],4.637,0.398,3.918,5.402,0.006,0.006,5033.0,2769.0,1.0
mean_d[1],4.617,0.396,3.877,5.361,0.006,0.006,4061.0,3149.0,1.0
mean_d[2],1.581,0.352,0.881,2.222,0.005,0.006,5418.0,2809.0,1.0
mean_d[3],1.556,0.359,0.893,2.223,0.005,0.006,5732.0,2985.0,1.0
mean_c[0],2.554,0.18,2.214,2.89,0.002,0.003,5417.0,3354.0,1.0
mean_c[1],2.582,0.179,2.234,2.899,0.003,0.003,4467.0,2475.0,1.0
mean_c[2],0.878,0.179,0.556,1.22,0.003,0.003,4198.0,2586.0,1.0
mean_c[3],0.864,0.177,0.523,1.195,0.003,0.003,4989.0,2711.0,1.0
