,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mean_d_prime[0],4.648,0.392,3.938,5.376,0.006,0.006,4565.0,3195.0,1.0
mean_d_prime[1],4.62,0.383,3.87,5.284,0.006,0.006,4445.0,3237.0,1.0
mean_d_prime[2],1.577,0.354,0.926,2.258,0.005,0.006,4777.0,2970.0,1.0
mean_d_prime[3],1.555,0.356,0.888,2.211,0.005,0.006,5075.0,2621.0,1.0
mean_criterion[0],2.553,0.178,2.229,2.899,0.003,0.003,4601.0,2921.0,1.0
mean_criterion[1],2.585,0.183,2.262,2.947,0.003,0.003,4866.0,2623.0,1.0
mean_criterion[2],0.875,0.183,0.53,1.211,0.003,0.003,4587.0,2597.0,1.0
mean_criterion[3],0.863,0.178,0.552,1.234,0.003,0.003,4550.0,2789.0,1.0
